"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Nfkbia",9.61980722250153e-09,-0.660103094831987,0.336,0.369,0.000107568684362012
"Calr",9.85546221201728e-09,-0.331823225433969,0.332,0.358,0.000110203778454777
"Mafb",4.53575590457663e-08,-0.343795676465904,0.099,0.131,0.000507188225249759
"Arpc5l",6.21611742103145e-08,-0.315017302476127,0.186,0.217,0.000695086250019737
"Psmb3",6.53329323066774e-08,-0.267907006969649,0.446,0.449,0.000730552849053267
"Sat1",7.2081549903636e-08,-0.596340867928021,0.498,0.492,0.000806015891022458
"Irf2",2.15176885284124e-07,-0.278817449013121,0.339,0.359,0.00240610793124707
"Mef2c",5.35286790385975e-07,0.280351602564905,0.22,0.185,0.00598557689009597
"Fibp",5.58256190104858e-07,-0.283201602611755,0.259,0.286,0.00624242071775252
"Nfkbiz",6.09658607560932e-07,-0.365614869302828,0.198,0.227,0.00681720254974635
"Marcks",6.37696056279033e-07,-0.475147565338718,0.174,0.204,0.00713071730131215
"Zfp36",1.21064742982442e-06,-0.473109194487993,0.358,0.37,0.0135374595602967
"Dnajc1",1.59817609789838e-06,-0.261573809374044,0.236,0.265,0.0178708051266997
"Egr1",2.9801926876145e-06,0.352188221566081,0.203,0.17,0.0333245146329053
"Vcan",7.29991198818575e-06,0.409795450165672,0.166,0.138,0.081627615851893
"Diaph1",1.11290846122367e-05,-0.267226093661492,0.305,0.322,0.124445424134031
"Sco2",0.00101347225961897,-0.273937800910187,0.161,0.177,1
"Cebpb",0.00223781676229858,-0.368471717227671,0.354,0.349,1
